MA001,622587.755,461958.6646,124.3784
MA002,622488.425,461571.1939,104.3784
MA003,622389.0949,461183.7232,104.3784
MA004,622264.9324,460699.3849,104.3784
MA005,622140.7698,460215.0465,104.3784
MA006,622016.6073,459730.7081,104.3784
MA007,621892.4448,459246.3697,104.3784
MA008,621768.2822,458762.0314,104.3784
MA009,621644.1197,458277.693,104.3784
MA010,621519.9571,457793.3546,104.3784
MA011,621395.7946,457309.0162,104.3784
MA012,621296.034,456818.4223,101.3692
MA013,621197.5989,456328.8824,101.3692
MA014,621099.0335,455838.6938,101.3692
MA015,621000.468,455348.5052,101.3692
MA016,620901.9025,454858.3166,101.3692
MA017,620803.3371,454368.1281,101.3692
MA018,620704.7716,453877.9395,101.3692
MA019,620606.2062,453387.7509,101.3692
MA020,620507.6407,452897.5623,101.3692
MA021,620420.3041,452405.3877,98.691
MA022,620344.7511,451911.1289,98.691
MA023,620269.1982,451416.8701,98.691
MA024,620193.6452,450922.6113,98.691
MA025,620118.0922,450428.3525,98.691
MA026,620042.5392,449934.0937,98.691
MA027,619966.9862,449439.835,98.691
MA028,619891.4333,448945.5762,98.691
MA029,619815.8803,448451.3174,98.691
MA030,619740.3273,447957.0586,98.691
MA031,619661.8125,447463.2811,99.7701
MA032,619576.9649,446970.5329,99.7701
MA033,619492.1172,446477.7846,99.7701
MA034,619407.2696,445985.0363,99.7701
MA035,619322.422,445492.288,99.7701
MA036,619237.5743,444999.5397,99.7701
MA037,619152.7267,444506.7914,99.7701
MA038,619067.8791,444014.0431,99.7701
MA039,618982.2856,443521.4261,100.2002
MA040,618893.7411,443029.3287,100.2002
MA041,618805.1966,442537.2313,100.2002
MA042,618716.6521,442045.1339,100.2002
MA043,618628.1076,441553.0364,100.2002
MA044,618539.5631,441060.939,100.2002
MA045,618451.0186,440568.8416,100.2002
MA046,618362.4741,440076.7442,100.2002
MA047,618273.9296,439584.6468,100.2002
MA048,618185.3851,439092.5493,100.2002
MA049,618096.8061,438600.4583,100.7651
MA050,618003.4144,438109.2579,100.7651
MA051,617910.0227,437618.0574,100.7651
MA052,617816.6309,437126.8568,100.7651
MA053,617723.2392,436635.6563,100.7651
MA054,617629.8475,436144.4557,100.7651
MA055,617536.4557,435653.2551,100.7651
MA056,617443.064,435162.0546,100.7651
MA057,617349.6723,434670.854,100.7651
MA058,617256.2805,434179.6535,100.7651
MA059,617162.8888,433688.4529,100.7651
MA060,617069.3826,433197.2741,100.8325
MA061,616975.4131,432706.1837,100.8325
MA062,616881.4437,432290.0933,100.8325
MA063,616787.4743,431724.0029,100.8325
MA064,616693.5049,431232.9126,100.8325
MA065,616599.5354,430741.8222,100.8325
MA066,616505.566,430250.7318,100.8325
MA067,616411.5966,429759.6415,100.8325
MA068,616317.6272,429268.5511,100.8325
MA069,616223.6577,428777.4607,100.8325
MA070,616129.6883,428286.3704,100.8325
MA071,616037.8634,427794.8848,100.0501
MA072,615950.6086,427302.5571,100.0501
MA073,615863.3538,426810.2294,100.0501
MA074,615776.099,426317.9016,100.0501
MA075,615688.8442,425825.5739,100.0501
MA076,615601.5894,425333.2461,100.0501
MA077,615514.3346,424840.9184,100.0501
MA078,615427.0798,424348.5907,100.0501
MA079,615339.825,423856.2629,100.0501
MA080,615252.5702,423363.9352,100.0501
MA081,615165.1087,422871.6442,100.0991
MA082,615077.4332,422379.3912,100.0991
MA083,614989.7577,421887.1382,100.0991
MA084,614902.0822,421394.8852,100.0991
MA085,614814.4067,420902.6322,100.0991
MA086,614726.7312,420410.3792,100.0991
MA087,614639.0557,419918.1263,100.0991
MA088,614551.3802,419425.8733,100.0991
MA089,614463.7047,418933.6203,100.0991
MA090,614376.0292,418441.3673,100.0991
MA091,614288.3536,417949.1143,100.0991
MA092,614217.4936,417453.8663,97.7514
MA093,614150.1035,416958.7817,97.7514
MA094,614082.6663,416463.3504,97.7514
MA095,614015.229,415967.9191,97.7514
MA096,613947.7917,415472.4877,97.7514
MA097,613880.3545,414977.0564,97.7514
MA098,613812.9172,414481.625,97.7514
MA099,613745.4799,413986.1937,97.7514
MA100,613678.0427,413490.7623,97.7514
MA101,613610.6054,412995.331,97.7514
MA102,613543.1682,412499.8997,97.7514
MA103,613488.7145,412002.9223,95.8292
MA104,613437.9331,411505.5078,95.8292
MA105,613387.1517,411008.0932,95.8292
MA106,613336.3702,410510.6787,95.8292
MA107,613285.5888,410013.2641,95.8292
MA108,613234.8074,409515.8495,95.8292
MA109,613184.0259,409018.435,95.8292
MA110,613133.2445,408521.0204,95.8292
MA111,613082.463,408023.6058,95.8292
MA112,613019.3866,407527.4465,98.7117
MA113,612943.7022,407033.5224,98.7117
MA114,612867.9708,406539.2909,98.7117
MA115,612792.2393,406045.0595,98.7117
MA116,612716.5078,405550.828,98.7117
MA117,612640.7763,405056.5965,98.7117
MA118,612565.0448,404562.3651,98.7117
MA119,612489.3133,404068.1336,98.7117
MA120,612413.5818,403573.9021,98.7117
MA121,612337.8503,403079.6707,98.7117
MA122,612262.1188,402585.4392,98.7117
MA123,612186.3874,402091.2077,98.7117
MA124,612109.0031,401597.2295,99.6781
MA125,612024.9494,401104.3595,99.6781
MA126,611940.8933,400611.4755,99.6781
MA127,611856.8372,400118.5916,99.6781
MA128,611772.7812,399625.7077,99.6781
MA129,611688.7251,399132.8237,99.6781
MA130,611604.669,398639.9398,99.6781
MA131,611520.6129,398147.0559,99.6781
MA132,611436.5568,397654.1719,99.6781
MA133,611352.5008,397161.288,99.6781
MA134,611268.4447,396668.4041,99.6781
MA135,611184.3886,396175.5201,99.6781
MA136,611106.1165,395681.6498,98.7797
MA137,611029.8054,395187.554,98.7797
MA138,610953.4872,394693.4128,98.7797
MA139,610877.169,394199.2716,98.7797
MA140,610800.8508,393705.1304,98.7797
MA141,610724.5326,393210.9892,98.7797
MA142,610648.2144,392716.848,98.7797
MA143,610571.8962,392222.7068,98.7797
MA144,610495.578,391728.5656,98.7797
MA145,610419.2599,391234.4244,98.7797
MA146,610342.9417,390740.2831,98.7797
MA147,610281.82,390244.0353,97.0053
MA148,610220.8394,389747.7678,97.0053
